,route,cnt_total
761,main-rabota-internet-vklad-archive,3
762,main-news-tariffs-rabota-news,3
763,main-tariffs-archive-online-news,3
764,main-vklad-news-vklad,3
765,main-news-tariffs-archive-news,3
766,main-rabota-news-bonus-archive,3
767,main-internet-archive-bonus-rabota,3
768,main-bonus-news-archive-vklad,3
769,main-rabota-bonus-archive-vklad,3
770,main-rabota-bonus-rabota-bonus,3
771,main-vklad-bonus-archive-rabota,3
772,main-tariffs-internet-rabota-online,3
773,main-bonus-internet-bonus-rabota,3
774,main-online-news-online,3
775,main-main-bonus-tariffs,3
776,main-rabota-vklad-archive-news,3
777,main-news-archive-rabota-archive,3
778,main-news-online-bonus-internet,3
779,main-archive-vklad-bonus-rabota,3
780,main-tariffs-internet-bonus-tariffs,3
781,main-tariffs-bonus-online,3
782,main-bonus-online-news-bonus,3
783,main-tariffs-archive-rabota-bonus,3
784,main-rabota-news-archive-rabota,3
785,main-archive-internet-online-vklad,3
786,main-rabota-bonus-rabota-internet-bonus,3
787,main-bonus-tariffs-rabota-internet,3
788,main-archive-main-rabota-bonus-rabota,3
789,main-archive-internet-tariffs-archive,3
790,main-internet-tariffs-archive-internet,3
791,main-internet-online-news-archive,3
792,main-archive-vklad-tariffs-bonus,3
793,main-online-internet-rabota-archive,3
794,main-archive-tariffs-archive-bonus,3
795,main-internet-rabota-news-tariffs,3
796,main-tariffs-online-internet-bonus,3
797,main-bonus-main-internet-bonus,3
798,main-internet-online-bonus-tariffs,3
799,main-online-news-main,3
800,main-archive-rabota-tariffs-rabota-archive,3
801,main-vklad-internet-archive-online,3
802,main-online-archive-bonus-archive,3
803,main-digital-vklad-bonus,3
804,main-internet-bonus-archive-bonus,3
805,main-internet-news-bonus-internet,3
806,main-rabota-online-rabota-vklad,3
807,main-archive-bonus-main-internet,3
808,main-archive-main-internet,3
809,main-archive-main-vklad,3
810,main-online-archive-bonus-tariffs,3
811,main-archive-internet-online-rabota,3
812,main-online-archive-bonus-online,3
813,main-rabota-archive-main-rabota,3
814,main-internet-archive-tariffs-archive,3
815,main-rabota-archive-main-archive-rabota,3
816,main-archive-bonus-archive-main,3
817,main-online-tariffs-archive-news,3
818,main-bonus-rabota-bonus-tariffs,3
819,main-news-rabota-internet-rabota,3
820,main-main-bonus-internet,3
821,main-digital-internet-rabota,3
822,main-news-archive-rabota-news,3
823,main-news-rabota-bonus-archive,3
824,main-online-internet-archive-rabota,3
825,main-vklad-tariffs-archive-rabota,3
826,main-rabota-bonus-rabota-tariffs,3
827,main-rabota-bonus-tariffs-rabota,3
828,main-online-bonus-online,3
829,main-internet-rabota-main-archive,3
830,main-rabota-internet-archive-vklad,3
831,main-vklad-archive-vklad,3
832,main-news-main-archive-internet,3
833,main-vklad-online-rabota,3
834,main-online-vklad-news-archive,3
835,main-rabota-news-rabota-online,3
836,main-rabota-internet-vklad-news,3
837,main-tariffs-archive-rabota-main,3
838,main-archive-rabota-news-bonus-rabota,3
839,main-archive-internet-news-tariffs,3
840,main-tariffs-rabota-online-vklad,3
841,main-rabota-online-news-tariffs,3
842,main-tariffs-bonus-archive-online,3
843,main-bonus-online-archive-rabota,3
844,main-internet-bonus-internet-bonus,3
845,main-rabota-tariffs-bonus-rabota,3
